question_id,stem_markdown_preview,primary_knowledge_model,primary_knowledge_teacher,secondary_knowledge_model,difficulty_model,difficulty_teacher,difficulty_basis,ability_tags_model,teaching_tag_model,error_prone_points_model,review_status,review_notes
szzx2024_g2_homework_q014,14．已知函数$f(x)=alnx-2x(a>0)$，若不等式$x^ae^-2x≥3f(x)+1$对$x>0$恒成立，则实数$a$的取值范围为_________,导数应用·单调性·判断单调区间,,导数与微分·求导运算·基本函数求导,3,,model_estimated,运算求解；逻辑推理；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024_g2_homework_q015,"15．已知函数$f(x)=(1)/(2)ax^2+(a-1)x-lnx$. (1)讨论$f(x)$的单调性； (2)当$a>0$时，求函数$f(x)$在$[1,",导数应用·极值与最值·求最值,,导数与微分·求导运算·基本函数求导；导数应用·单调性·判断单调区间,3,,model_estimated,运算求解；逻辑推理；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024_g2_homework_q016,16．某篮球运动员在训练中进行投篮练习.已知其2分球的命中率为0.8，3分球的命中率为0.5，且每次投篮结果相互独立.在每次投篮前，他可以根据场上情况选择投2分,概率统计·概率模型·全概率公式,,概率统计·数字特征·期望与方差,3,,model_estimated,运算求解；逻辑推理,综合提升,事件条件理解错误；概率公式套用混淆；期望计算漏项,待审核,
szzx2024_g2_homework_q017,"17．已知函数$f(x)=x^2-2ax+a,a∈R$． (1)若函数$g(x)=x⋅f(x)$在$x=1$处有极值，且关于$x$的方程$g(x)=t$有3个不",导数应用·极值与最值·求极值,,导数与微分·求导运算·基本函数求导；导数应用·单调性·判断单调区间,3,,model_estimated,运算求解；逻辑推理；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024_g2_homework_q018,18．已知函数$f(x)=ln(x+1)+(1)/(2)x^2$. (1)若函数$h(x)=f(x)-a(x+1)^2$不单调，求实数$a$的取值范围； (2),导数应用·零点问题·函数零点个数,,导数应用·单调性·判断单调区间,3,,model_estimated,运算求解；逻辑推理；数形结合,综合提升,极值与零点关系判断错误；参数范围漏讨论,待审核,
szzx2024_g2_homework_q019,19．已知函数$f(x)=xln(x-1)$. (1)求曲线$y=f(x)$在$x=2$处的切线方程； (2)设$g(x)=f^'(x)$，求函数$g(x)$的,导数与微分·切线方程·求切线,,导数与微分·求导运算·基本函数求导；导数应用·单调性·判断单调区间；导数应用·极值与最值·求最值,3,,model_estimated,运算求解；逻辑推理；数形结合,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
szzx2024g2week2_q001,"1．曲线$y=(e^x)/(x+1)$在点$(1,(e)/(2))$处的切线方程为（ ） A．$y=(e)/(4)x$ B．$y=(e)/(2)x$ C．$y=",导数与微分·切线方程·求切线,,,3,,model_estimated,运算求解；数形结合,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
szzx2024g2week2_q002,2．若$f(x)=ax^4+bx^2+c$满足$f^'(1)=2$，则$f^'(-1)=$ A．$-4$ B．$-2$ C．2 D．4,导数与微分·求导运算·基本函数求导,,,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
szzx2024g2week2_q003,"3．曲线$y=xe^x-x$在点$P$处切线的斜率为$-1$，则$P$的坐标为（ ） A．$(-1,-1)$ B．$(-1,1-(1)/(e))$ C．$(1,",导数与微分·切线方程·求切线,,,3,,model_estimated,数形结合,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
szzx2024g2week2_q004,4．设$f(x)、g(x)$分别是定义在$R$上的奇函数和偶函数，当$x<0$时，$f^'(x)g(x)+f(x)g^'(x)>0$．且$g(-3)=0$，则不,导数应用·单调性·判断单调区间,,导数与微分·求导运算·基本函数求导,3,,model_estimated,运算求解,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week2_q005,"5．已知函数$f(x)=ae^x-lnx$在区间$(1,2)$上单调递增，则a的最小值为（ ）． A．$e^2$ B．e C．$e^-1$ D．$e^-2$",导数应用·极值与最值·求最值,,导数与微分·求导运算·基本函数求导；导数应用·单调性·判断单调区间,3,,model_estimated,运算求解；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week2_q006,6．已知函数$f(x)$是定义在$R$上的偶函数，$f^'(x)$是$f(x)$的导函数，$f(x)+f^'(x)=2e^x$，若$k[f(x)-e^x]≤x$,导数应用·极值与最值·求最值,,导数与微分·求导运算·基本函数求导；导数应用·单调性·判断单调区间,3,,model_estimated,运算求解；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week2_q007,"7．已知$a=sin0.5,b=3^0.5,c=log_0.30.5$，则$a,b,c$的大小关系是（ ） A．$a<b<c$ B．$a<c<b$ C．$c<a",导数应用·单调性·判断单调区间,,,3,,model_estimated,运算求解；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week2_q008,8．已知定义在$R$上的函数$f(x)$的导数为$f^'(x)$，$f(1)=e$，且对任意的$x$满足$f^'(x)-f(x)<e^x$，则不等式$f(x)>,导数应用·单调性·判断单调区间,,导数与微分·求导运算·基本函数求导,3,,model_estimated,运算求解,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week2_q009,"9．过点$(-1,-1)$且与曲线$y=3x^3+2$相切的直线方程可能为（ ） A．$8x-y+7=0$ B．$9x-y+8=0$ C．$9x-4y+5=0$",导数与微分·切线方程·求切线,,,3,,model_estimated,运算求解；数形结合,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
szzx2024g2week2_q010,10．已知$0<x_1<x_2<1$，则下列不等式恒成立的是 ( ) A. $x_2⋅e^x_1>x_1⋅e^x_2$ B. $e^x_1-e^x_2>lnx_,导数应用·单调性·判断单调区间,,,3,,model_estimated,运算求解；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week2_q011,11．已知函数$f(x)=(ln(e^x+1))/(x)$，则下列结论中正确地是( ) A. 当$x<0$时，$f(x)<0$ B. $f(x)$的图象关于$(,导数应用·单调性·判断单调区间,,,3,,model_estimated,运算求解；数形结合；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week2_q012,"12．已知函数$f(x)=lnx+x^2+ax$的单调递减区间为$((1)/(2),1)$，则$a$的取值范围为 ________．",导数应用·单调性·判断单调区间,,,3,,model_estimated,运算求解；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week2_q013,"13．定义在$R$上的函数$f(x)$的导函数为$f^'(x)$，且有$f(-3)=-12,f(-x)+f(x)=0$，且对任意$x∈R$都有$f^'(x)>3",导数应用·单调性·判断单调区间,,导数与微分·求导运算·基本函数求导,3,,model_estimated,运算求解；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week2_q014,"14．已知对任意$x_1,x_2∈(0,+∞)$，且当$x_1<x_2$时，都有$(a(lnx_2-lnx_1))/(x_2-x_1)<2+(1)/(x_1x_",导数应用·单调性·判断单调区间,,导数与微分·求导运算·基本函数求导,3,,model_estimated,运算求解；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week2_q015,"15．已知函数$f(x)=(e^x-a)/(x)-alnx(a∈R)$． $(1)$求曲线$y=f(x)$在点$(1,f(1))$处的切线方程； $(2)$求$",导数与微分·切线方程·求切线,,导数应用·单调性·判断单调区间,3,,model_estimated,运算求解；逻辑推理；数形结合,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
szzx2024g2week2_q016,16．已知函数$f(x)=a(e^x+a)-x$． (1)讨论$f(x)$的单调性； (2)证明：当$a>0$时，$f(x)>2lna+(3)/(2)$．,导数应用·单调性·判断单调区间,,导数与微分·求导运算·基本函数求导；函数综合·函数构造·构造函数证不等式,3,,model_estimated,运算求解；逻辑推理；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week4_q001,1．若 $f(x)=(1)/(1+2x)，$则$f(x)$ 在$x=0$处的瞬时变化率为（ ） A．1 B．$-1$ C．2 D．$-2$,导数与微分·导数定义·平均变化率与瞬时变化率,,,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
szzx2024g2week4_q002,2．设函数$f(x)=(1)/(x^2)+1$，则$limΔx→0(f(1-3Δx)-f(1))/(Δx)=$（ ） A．3 B．$(3)/(2)$ C．6 D,导数与微分·导数定义·平均变化率与瞬时变化率,,,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
szzx2024g2week4_q003,3．直线$x+y-1=0$是曲线$y=lnx-2x+a$的一条切线，则$a=$（ ） A．-2 B．-1 C．1 D．2,导数与微分·切线方程·求切线,,,3,,model_estimated,数形结合；分类讨论,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
szzx2024g2week4_q004,4．已知函数$f(x)=x(x-a)^2$在$x=1$处取得极大值，则$a=$（ ） A．3或1 B．3 C．2 D．1,导数与微分·求导运算·基本函数求导,,,3,,model_estimated,分类讨论,综合提升,基本公式记忆不牢；代数化简错误,待审核,
szzx2024g2week4_q005,"[image:rId7]5．若$f(x)$是定义在区间$(-3,2)$上的函数，其图象如图所示，设$f(x)$的导函数为$f^'(x)$，则$(f^'(x))/",导数与微分·求导运算·基本函数求导,,,3,,model_estimated,运算求解；数形结合,综合提升,基本公式记忆不牢；代数化简错误,待审核,
szzx2024g2week4_q006,"6．若函数 $f(x)=(1)/(2)x+cosx$在x∈[0，a]上存在唯一的极大值点，则实数a 的取值范围为（ ） A．$((π)/(6),(13π)/(6",函数综合·函数性质·奇偶性与周期性,,导数与微分·求导运算·基本函数求导,3,,model_estimated,运算求解；逻辑推理；分类讨论,综合提升,基本公式记忆不牢；代数化简错误,待审核,
szzx2024g2week4_q007,"7．若函数$f(x)=-x^2+ax+4lnx$在$(1)$上有最大值，则实数$a$的取值范围为（ ） A．$(-2,+∞)$ B．$(-2,2)$ C．$(-",导数应用·零点问题·函数零点个数,,导数与微分·求导运算·基本函数求导；导数应用·单调性·判断单调区间；导数应用·极值与最值·求最值,3,,model_estimated,运算求解；逻辑推理；分类讨论,综合提升,极值与零点关系判断错误；参数范围漏讨论,待审核,
szzx2024g2week4_q008,"8．已知$a=(ln4)/(4), b=(1)/(e), c=(2)/(3)ln(3)/(2)$，则$a, b, c$的大小关系为（ ） A．$a>b>c$ B",导数与微分·求导运算·基本函数求导,,,3,,model_estimated,分类讨论,综合提升,基本公式记忆不牢；代数化简错误,待审核,
szzx2024g2week4_q009,9．已知函数$f(x)=e^x-e^-x-2cosx$，则（ ） A．$f(0)=-2$ B．$f^'(x)=e^x+e^-x-2sinx$ C．$f(x)$在,导数应用·单调性·判断单调区间,,导数与微分·求导运算·基本函数求导,3,,model_estimated,运算求解,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week4_q010,10．已知$a∈R$，函数$f(x)=ax^3+2x+1$有两个极值点$x_1$，$x_2$，则（ ） A．$a$是负数 B．$x_1+x_2≠0$ C．函数$,导数与微分·切线方程·求切线,,导数应用·极值与最值·求最值,3,,model_estimated,运算求解；数形结合；分类讨论,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
szzx2024g2week4_q011,"11．对于函数$f(x)=(x)/(lnx)$，下列说法正确的是（ ） A．$f(x)$在$(0,e)$上单调递减，在$(e,+∞)$上单调递增 B．$f(π)",导数应用·零点问题·函数零点个数,,导数与微分·求导运算·基本函数求导；导数应用·单调性·判断单调区间,3,,model_estimated,运算求解；数形结合,综合提升,极值与零点关系判断错误；参数范围漏讨论,待审核,
szzx2024g2week4_q012,"12．已知函数$f(x),g(x)$满足：$f(x)+x^2g(x)=e^x-x$，且$f(1)=1$，则$f^'(1)+g^'(1)=$______.",导数与微分·求导运算·基本函数求导,,,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
szzx2024g2week4_q013,"13．已知函数$f(x)=(a-x)lnx+x-1$，若$∀x_1,x_2∈(0,+∞),x_1≠x_2$，都有$(f(x_1)-f(x_2))/(x_1-x_",导数应用·极值与最值·求最值,,导数应用·单调性·判断单调区间,3,,model_estimated,运算求解；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week4_q014,14．已知函数$f(x)=x^3+x-sinx$，则关于t的不等式$f(t^2-t)+f(-t)<f(0)$的解集为______.,导数应用·单调性·判断单调区间,,导数与微分·求导运算·基本函数求导,3,,model_estimated,运算求解,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week4_q015,"15．已知函数$f(x)=a^2x^2-3axlnx，a>0$． (1)当$a=1$时，求曲线$y=f(x)$在$(1,f(1))$处的切线方程； (2)讨论$",导数与微分·切线方程·求切线,,导数与微分·求导运算·基本函数求导；导数应用·单调性·判断单调区间；导数应用·极值与最值·求最值,3,,model_estimated,运算求解；逻辑推理；数形结合,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
szzx2024g2week4_q016,"16．已知函数$f(x)=e^x,g(x)=(a)/(x),h(x)=f(x)-g(x),a≠0$． (1)当$a=e$时，求曲线$y=h(x)$在点$(1,h",导数与微分·切线方程·求切线,,导数应用·单调性·判断单调区间；导数应用·极值与最值·求最值,3,,model_estimated,运算求解；逻辑推理；数形结合,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
szzx2024g2week5_q001,1． 已知$f^'(x)$是函数$f(x)$的导函数，且$f(x)=2f^'(1)lnx+(1)/(x)$，则$f^'(1)=$（ ） A．1 B．2 C．$-,导数与微分·求导运算·基本函数求导,,,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
szzx2024g2week5_q002,"2． 已知函数$f(x)=cosx+ax$在$R$上单调递增，则实数$a$的取值范围是（ ） A．$(-∞,0]$ B．$[0,1]$ C．$[1,+∞)$ D",导数应用·单调性·判断单调区间,,导数与微分·求导运算·基本函数求导,3,,model_estimated,运算求解；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week5_q003,3． 曲线$y=xlnx$在$x=1$处的切线与两坐标轴所围成的三角形的面积为（ ） [image:rId7] A．$4$ B．$3$ C．$1$ D．$(1),导数与微分·切线方程·求切线,,导数与微分·求导运算·基本函数求导,3,,model_estimated,运算求解；数形结合,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
szzx2024g2week5_q004,4． 设$x∈R$，则“$x-sinx<0$”是“$x<0$”的（ ） A．充分不必要条件 B．必要不充分条件 C．充要条件 D．既不充分也不必要条件,导数应用·单调性·判断单调区间,,导数与微分·求导运算·基本函数求导,3,,model_estimated,运算求解；逻辑推理,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week5_q005,5． 已知函数$f(x)$在定义域内可导，$f(x)$的大致图象如图所示，则其导函数$f^'(x)$的大致图象可能为（ ） A．[image:rId8] B．[,导数应用·单调性·判断单调区间,,导数与微分·求导运算·基本函数求导,3,,model_estimated,运算求解；数形结合,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week5_q006,"6． 已知函数$f(x)=ln(e^2x+1)-x$，若$x∈[1,2]$时，关于$x$的不等式$f(2x+1)<f(x+a)$恒成立，则实数$a$的取值范围为",导数应用·单调性·判断单调区间,,导数与微分·求导运算·基本函数求导,3,,model_estimated,运算求解；数形结合；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week5_q007,"7． 已知定义域为$R$的函数$f(x)$，其导函数为$f^'(x)$，且$f^'(x)+2f(x)<0,f(0)=1$,则（ ） A．$f(-1)<e^2$ ",导数应用·单调性·判断单调区间,,导数与微分·求导运算·基本函数求导,3,,model_estimated,运算求解,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week5_q008,"8． 已知函数$f(x)=ae^x-x^2+3$有三个不同的零点，则实数a的取值范围是（ ） A．$(0,(6)/(e^3))$ B．$(0,(2)/(e))$",导数应用·零点问题·函数零点个数,,导数应用·单调性·判断单调区间,3,,model_estimated,运算求解；数形结合；分类讨论,综合提升,极值与零点关系判断错误；参数范围漏讨论,待审核,
szzx2024g2week5_q009,9． 下列求导数运算中不正确的是（ ） A．$(4)^'=2$ B．$(lnx)^'=(1)/(xln10)$ C．$(3^x)^'=x⋅3^x-1$ D．$(,导数与微分·求导运算·基本函数求导,,,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
szzx2024g2week5_q010,"10．设计一个实用的门把手，其造型可以看作图中的曲线$C:y^2=x^3-2x+2$的一部分，则（ ） [image:rId12] A．点$(1,1)$在$C$",导数与微分·切线方程·求切线,,导数与微分·求导运算·基本函数求导,3,,model_estimated,运算求解；逻辑推理；数形结合,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
szzx2024g2week5_q011,11．已知函数$f(x)=sin2x-2sinx$，则（ ） A．$f(x)$的最小正周期为$2π$ B．曲线$y=f(x)$关于直线$x=(π)/(2)$对称,导数应用·零点问题·函数零点个数,,导数与微分·求导运算·基本函数求导；导数应用·单调性·判断单调区间,3,,model_estimated,运算求解,综合提升,极值与零点关系判断错误；参数范围漏讨论,待审核,
szzx2024g2week5_q012,12．函数$y=(1)/(2)x^2-lnx$的单调递减区间为 .,导数应用·单调性·判断单调区间,,导数与微分·求导运算·基本函数求导,3,,model_estimated,运算求解,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week5_q013,"13．若函数$f(x)=x+(4)/(x)+3lnx$在$(a,2-3a)$内有最小值，则实数$a$的取值范围是 .",导数应用·极值与最值·求最值,,导数与微分·求导运算·基本函数求导；导数应用·单调性·判断单调区间,3,,model_estimated,运算求解；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week5_q014,"14．已知函数$f(x)={6lnx,x>0,mx^2+6x,x<0.$若关于a的方程$f(a)=f(-a)$恰有四个不同的解，则正数m的取值范围为 ．",导数应用·零点问题·函数零点个数,,导数与微分·求导运算·基本函数求导；导数应用·单调性·判断单调区间,3,,model_estimated,运算求解；分类讨论,综合提升,极值与零点关系判断错误；参数范围漏讨论,待审核,
szzx2024g2week5_q015,15．（1）证明：$∀x∈R$，$e^x≥ex$； （2）已知函数$f(x)=(x^2+ax+4)e^x$（$x∈R$，$a∈R$，e为自然对数的底数）. （I,导数应用·单调性·判断单调区间,,导数与微分·求导运算·基本函数求导；函数综合·函数构造·构造函数证不等式,3,,model_estimated,运算求解；逻辑推理；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week5_q016,16．已知函数$f(x)=x-2+aln(1)/(x)(a∈R)$． （1）若$f(x)≥-1$，求a的值； （2）设$n∈N^*$，求证：$(1)/(3)+(,导数应用·单调性·判断单调区间,,导数与微分·求导运算·基本函数求导；函数综合·函数构造·构造函数证不等式,3,,model_estimated,运算求解；逻辑推理；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week5_q017,"17．已知函数$f(x)$的定义域为$(0,+∞)$，其导函数$f^'(x)=2x+(2)/(x)-2a(a∈R),f(1)=1-2a$． （1）求曲线$y=f",导数与微分·切线方程·求切线,,导数与微分·求导运算·基本函数求导；导数应用·单调性·判断单调区间,3,,model_estimated,运算求解；逻辑推理；数形结合,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
szzx2024g2week5_q018,"18．已知函数$f(x)=(lnx+a)/(x),a∈R$． （1）求函数$f(x)$在区间$[1,2]$上的最大值； （2）当$a=1$时，若$e^x≥f(x",导数应用·极值与最值·求最值,,导数与微分·求导运算·基本函数求导；导数应用·单调性·判断单调区间,3,,model_estimated,运算求解；逻辑推理；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week5_q019,"19．设函数$f(x)=lnx+(1-a)/(x)(a∈R)$. （1）若$f(x)≥0$恒成立，求$a$的取值范围； （2）若$f(x)$有两个零点$x_1,",导数应用·零点问题·函数零点个数,,导数与微分·求导运算·基本函数求导；导数应用·单调性·判断单调区间；函数综合·函数构造·构造函数证不等式,3,,model_estimated,运算求解；逻辑推理；分类讨论,综合提升,极值与零点关系判断错误；参数范围漏讨论,待审核,
szzx2024g2week7_q001,1．下列求导结果正确的是（ ） A．$(sin3)^'=cos3$ B．$(cosx)^'=sinx$ C．$((e^x)/(x))^'=(e^x(x-1))/,函数综合·函数性质·奇偶性与周期性,,导数与微分·求导运算·基本函数求导,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
szzx2024g2week7_q002,2．某地的中学生中有$60%$的同学爱好滑冰，$50%$的同学爱好滑雪，$70%$的同学爱好滑冰或爱好滑雪.在该地的中学生中随机调查一位同学，若该同学爱好滑雪，,概率统计·概率模型·全概率公式,,,3,,model_estimated,运算求解,综合提升,事件条件理解错误；概率公式套用混淆；期望计算漏项,待审核,
szzx2024g2week7_q003,3．当$x=1$时，函数$f(x)=alnx+(b)/(x)$取得最大值$-2$，则$f^'(2)=$（ ） A．$-1$ B．$-(1)/(2)$ C．$(1,导数应用·极值与最值·求最值,,导数与微分·求导运算·基本函数求导,3,,model_estimated,运算求解；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week7_q004,[image:rId7]4．已知函数$f(x)$的定义域为R，且$f(x)$的图象是一条连续不断的曲线，$f(x)$的导函数为$f^'(x)$，若函数$g(x),导数应用·极值与最值·求极值,,导数与微分·求导运算·基本函数求导；导数应用·单调性·判断单调区间,3,,model_estimated,运算求解；数形结合,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week7_q005,"5．若经过点$(0,-2)$的直线$l$与曲线$y=lnx$相切，也与曲线$y=e^x-a(a∈R)$相切，则$a=$（ ） A．$(3)/(2)$ B．$1$",导数与微分·切线方程·求切线,,,3,,model_estimated,运算求解；数形结合；分类讨论,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
szzx2024g2week7_q006,6．定义在$R$上的函数$f(x)$的导函数为$f^'(x)$，若对任意实数$x$，有$f(x)>f^'(x)$，且$f(x)+2026$为奇函数，则不等式$f,导数应用·单调性·判断单调区间,,导数与微分·求导运算·基本函数求导,3,,model_estimated,运算求解,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024g2week7_q007,7．设$a≠0$，若$a$为函数$f(x)=a(x-a)^2(x-b)$的极大值点，则（ ） A．$a<b$ B．$a>b$ C．$ab<a^2$ D．$ab>,导数应用·零点问题·函数零点个数,,导数应用·极值与最值·求最值,3,,model_estimated,数形结合；分类讨论,综合提升,极值与零点关系判断错误；参数范围漏讨论,待审核,
szzx2024g2week7_q008,"8．已知函数$f(x)=e^x-e^-x-sin2x$，若对$∀x∈[2,+∞)$，$f(lnx)+f(-ax)<0$，则实数$a$的取值范围是（ ） A．$(",导数应用·单调性·判断单调区间,,导数与微分·求导运算·基本函数求导,3,,model_estimated,运算求解；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
